years of house,building present situation pattern - hall,building present situation pattern - health,Transfer building present situation pattern - compartmented,School,Distance To Bay,parking space,logY
42,2,3,1,0.852306465,0.830368719,0,3.471551836
3,0,0,0,0.696799532,0.83513498,1,3.698120977
14,2,2,1,0.987478052,0.089726226,0,3.634492078
14,1,1,1,0.987478052,0.089726226,0,3.772729099
14,2,2,1,0.987478052,0.089726226,0,3.655178303
38,2,1,1,0.64160638,1.056599725,0,3.386034062
14,1,1,1,0.987478052,0.089726226,0,3.812439881
3,0,1,0,1.247912529,0.264288724,1,3.532067972
42,0,2,1,0.90484229,0.779320824,0,3.617165493
38,2,1,1,0.64160638,1.056599725,0,3.36086246
15,0,1,1,0.987478052,0.089726226,0,3.603162845
30,2,1,1,0.558184725,1.213090022,0,3.585688156
15,1,1,1,0.987478052,0.089726226,0,3.715562531
33,2,1,1,0.621112655,1.090408411,0,3.422688338
30,0,2,1,0.584410218,1.225493016,0,3.563466531
39,1,2,1,0.64160638,1.056599725,0,3.540783857
15,1,1,1,0.987478052,0.089726226,0,3.823246894
3,2,2,1,1.247912529,0.264288724,1,3.705208295
4,2,1,1,0.696799532,0.83513498,1,3.788448427
15,1,1,1,0.987478052,0.089726226,0,3.744417487
15,1,1,1,0.987478052,0.089726226,0,3.451795494
27,5,5,1,0.5585594,1.255223121,0,3.560075714
27,2,2,1,0.5585594,1.255223121,0,3.4322493
27,2,1,1,0.584410218,1.225493016,0,3.498304022
26,2,2,1,0.696799532,0.83513498,0,3.426441049
35,2,1,1,0.696799532,0.83513498,0,3.628410711
45,2,2,1,0.90484229,0.779320824,0,3.534510661
35,0,5,1,0.696799532,0.83513498,0,3.780380831
15,2,2,1,0.987478052,0.089726226,0,3.565062988
35,2,1,1,0.696799532,0.83513498,0,3.542952803
43,1,1,1,0.90484229,0.779320824,0,3.330393416
31,2,1,1,0.558184725,1.213090022,0,3.458204657
29,2,1,1,0.54040597,1.236259361,0,3.427140407
30,0,0,0,0.584410218,1.225493016,0,3.741660081
31,2,2,1,0.641398922,1.141651264,0,3.631866142
16,1,1,1,0.987478052,0.089726226,0,3.636377498
39,2,1,1,0.64160638,1.056599725,0,3.825453062
16,1,1,1,0.987478052,0.089726226,0,3.678786647
35,2,1,1,0.696799532,0.83513498,0,3.429926922
30,2,1,1,0.574811604,1.214897961,0,3.457756964
16,1,1,1,0.987478052,0.089726226,0,3.812439881
16,2,1,1,0.987478052,0.089726226,0,3.682964303
34,2,1,1,0.669928093,1.05850753,0,3.415809372
16,2,2,1,0.987478052,0.089726226,1,3.687537109
16,2,2,1,0.987478052,0.089726226,0,3.298795517
30,2,1,1,0.616435731,1.1976005,0,3.483732401
40,2,1,1,0.64160638,1.056599725,0,3.607003848
16,1,1,1,0.987478052,0.089726226,0,3.636377498
16,2,1,1,0.987478052,0.089726226,0,3.723996964
24,2,2,1,0.54040597,1.236259361,0,3.630098915
30,2,1,1,0.574811604,1.214897961,0,3.33492486
16,2,2,1,0.987478052,0.089726226,0,3.73019012
27,2,2,1,0.696799532,0.83513498,0,3.487261583
32,2,1,1,0.584410218,1.225493016,0,3.471083191
16,2,2,1,0.987478052,0.089726226,0,3.64516934
17,1,1,1,0.987478052,0.089726226,0,3.735681707
31,2,1,1,0.584410218,1.225493016,0,3.9243465
17,2,2,1,0.987478052,0.089726226,1,3.482057021
30,2,1,1,0.54040597,1.236259361,0,3.442273025
32,1,1,1,0.568889513,1.189892816,0,3.463039386
32,2,2,1,0.641398922,1.141651264,0,3.332273821
17,2,2,1,0.987478052,0.089726226,1,3.435870835
17,1,1,1,0.987478052,0.089726226,0,3.655776282
41,2,1,1,0.64160638,1.056599725,0,3.916440792
33,2,1,1,0.54040597,1.236259361,0,3.438031398
47,2,2,1,0.90484229,0.779320824,0,3.578532545
35,2,1,1,0.669928093,1.05850753,0,3.850685662
44,0,0,0,0.883546176,0.81466666,0,3.51222187
17,1,1,1,0.987478052,0.089726226,0,3.797305191
33,2,1,1,0.584410218,1.225493016,0,3.542968456
17,2,2,1,0.987478052,0.089726226,1,3.508451567
17,2,2,1,0.987478052,0.089726226,1,3.448182468
17,1,1,1,0.987478052,0.089726226,0,3.76714077
17,2,1,1,0.987478052,0.089726226,0,3.536469719
17,2,2,1,0.987478052,0.089726226,0,3.284177551
45,2,1,1,0.936297966,0.735000051,0,3.368987016
17,2,2,1,0.987478052,0.089726226,0,3.671914371
17,2,1,1,0.987478052,0.089726226,0,3.32295574
17,2,1,1,0.987478052,0.089726226,0,3.583718905
18,2,2,1,0.987478052,0.089726226,1,3.4468274
18,1,1,1,0.987478052,0.089726226,0,3.663241872
18,2,1,1,0.987478052,0.089726226,0,3.564426527
18,1,1,1,0.987478052,0.089726226,0,3.71443657
18,1,1,1,0.987478052,0.089726226,0,3.735027228
38,1,1,1,0.696799532,0.83513498,0,3.431686861
18,1,1,1,0.987478052,0.089726226,0,3.659148176
39,2,1,1,0.696799532,0.83513498,0,3.527234872
35,3,3,1,0.696799532,0.83513498,0,3.679548189
18,1,1,1,0.987478052,0.089726226,0,3.734868743
18,1,1,1,0.987478052,0.089726226,0,3.797111126
0,0,0,0,1.084235003,0.156599033,1,3.667693238
0,0,0,0,1.084235003,0.156599033,1,3.618175951
0,0,0,0,1.084235003,0.156599033,1,3.65422554
0,0,0,0,1.084235003,0.156599033,1,3.628076505
0,0,0,0,1.084235003,0.156599033,1,3.656279077
0,0,0,0,1.084235003,0.156599033,1,3.58305341
0,0,0,0,1.084235003,0.156599033,1,3.663423225
0,0,0,0,1.084235003,0.156599033,1,3.569836883
0,0,0,0,1.084235003,0.156599033,1,3.632475841
0,0,0,0,1.084235003,0.156599033,1,3.587424125
0,0,0,0,1.084235003,0.156599033,0,3.761014
0,0,0,0,1.084235003,0.156599033,1,3.591138087
0,0,0,0,1.084235003,0.156599033,1,3.609188695
0,0,0,0,1.084235003,0.156599033,1,3.635978909
0,0,0,0,1.084235003,0.156599033,1,3.599600901
0,0,0,0,1.084235003,0.156599033,0,3.781856345
0,0,0,0,1.084235003,0.156599033,0,3.737950782
0,0,0,0,1.084235003,0.156599033,1,3.604877809
0,0,0,0,1.084235003,0.156599033,1,3.604877809
0,0,0,0,1.084235003,0.156599033,1,3.614103233
0,0,0,0,1.084235003,0.156599033,1,3.656955669
0,0,0,0,1.084235003,0.156599033,1,3.530262573
0,0,0,0,1.084235003,0.156599033,1,3.649695612
0,0,0,0,1.084235003,0.156599033,1,3.595485357
0,0,0,0,1.084235003,0.156599033,1,3.666315892
0,0,0,0,1.084235003,0.156599033,1,3.611348027
0,0,0,0,1.084235003,0.156599033,1,3.677667225
0,0,0,0,1.084235003,0.156599033,1,3.58656001
0,0,0,0,1.084235003,0.156599033,1,3.622173485
0,0,0,0,1.084235003,0.156599033,1,3.562278624
0,0,0,0,1.084235003,0.156599033,0,3.743175699
0,0,0,0,1.084235003,0.156599033,0,3.731761299
0,0,0,0,1.084235003,0.156599033,0,3.731761299
0,0,0,0,1.084235003,0.156599033,0,3.734326557
0,0,0,0,1.084235003,0.156599033,0,3.734326557
0,0,0,0,1.084235003,0.156599033,1,3.649868156
0,0,0,0,1.084235003,0.156599033,1,3.603914442
18,2,2,1,0.987478052,0.089726226,1,3.521841326
18,2,2,1,0.987478052,0.089726226,1,3.410470548
0,0,0,0,1.084235003,0.156599033,1,3.618488003
0,0,0,0,1.084235003,0.156599033,0,3.74022404
0,0,0,0,1.084235003,0.156599033,1,3.645066498
0,0,0,0,1.084235003,0.156599033,0,3.762461443
0,0,0,0,1.084235003,0.156599033,1,3.609632963
0,0,0,0,1.084235003,0.156599033,0,3.740361217
0,0,0,0,1.084235003,0.156599033,1,3.672392308
0,0,0,0,1.084235003,0.156599033,1,3.681864808
0,0,0,0,1.084235003,0.156599033,1,3.67131821
0,0,0,0,1.084235003,0.156599033,1,3.604771205
0,0,0,0,1.084235003,0.156599033,0,3.731849259
0,0,0,0,1.084235003,0.156599033,1,3.609594956
0,0,0,0,1.084235003,0.156599033,1,3.627827601
0,0,0,0,1.084235003,0.156599033,1,3.574717855
0,0,0,0,1.084235003,0.156599033,0,3.74022404
0,0,0,0,1.084235003,0.156599033,0,3.739022517
0,0,0,0,1.084235003,0.156599033,0,3.806453493
0,0,0,0,1.084235003,0.156599033,1,3.695894244
0,0,0,0,1.084235003,0.156599033,1,3.663052285
0,0,0,0,1.084235003,0.156599033,1,3.68848623
0,0,0,0,1.084235003,0.156599033,1,3.626231983
0,0,0,0,1.084235003,0.156599033,1,3.642346855
0,0,0,0,1.084235003,0.156599033,1,3.598287453
0,0,0,0,1.084235003,0.156599033,1,3.566043748
0,0,0,0,1.084235003,0.156599033,1,3.638311207
0,0,0,0,1.084235003,0.156599033,1,3.607882241
0,0,0,0,1.084235003,0.156599033,1,3.633341416
0,0,0,0,1.084235003,0.156599033,1,3.632769908
0,0,0,0,1.084235003,0.156599033,1,3.666308391
38,0,5,1,0.696799532,0.83513498,0,3.6945077
0,0,0,0,1.084235003,0.156599033,1,3.596101037
0,0,0,0,1.084235003,0.156599033,0,3.730535287
0,0,0,0,1.084235003,0.156599033,0,3.736615133
0,0,0,0,1.084235003,0.156599033,1,3.612561521
0,0,0,0,1.084235003,0.156599033,1,3.656257223
0,0,0,0,1.084235003,0.156599033,1,3.596656139
0,0,0,0,1.084235003,0.156599033,1,3.609937377
0,0,0,0,1.084235003,0.156599033,0,3.731761299
0,0,0,0,1.084235003,0.156599033,0,3.761797601
0,0,0,0,1.084235003,0.156599033,1,3.611967142
0,0,0,0,1.084235003,0.156599033,0,3.736743382
0,0,0,0,1.084235003,0.156599033,1,3.605989438
0,0,0,0,1.084235003,0.156599033,1,3.589570816
0,0,0,0,1.084235003,0.156599033,0,3.736743382
0,0,0,0,1.084235003,0.156599033,1,3.661769883
0,0,0,0,1.084235003,0.156599033,1,3.572604246
0,0,0,0,1.084235003,0.156599033,0,3.731849259
0,0,0,0,1.084235003,0.156599033,0,3.758075761
0,0,0,0,1.084235003,0.156599033,1,3.677000712
0,0,0,0,1.084235003,0.156599033,1,3.649713921
0,0,0,0,1.084235003,0.156599033,0,3.742765857
0,0,0,0,1.084235003,0.156599033,1,3.645575095
0,0,0,0,1.084235003,0.156599033,1,3.593445468
0,0,0,0,1.084235003,0.156599033,1,3.611091072
0,0,0,0,1.084235003,0.156599033,1,3.64269538
0,0,0,0,1.084235003,0.156599033,1,3.679242442
0,0,0,0,1.084235003,0.156599033,1,3.58269896
0,0,0,0,1.084235003,0.156599033,0,3.742033151
0,0,0,0,1.084235003,0.156599033,0,3.758075761
0,0,0,0,1.084235003,0.156599033,1,3.63716537
0,0,0,0,1.084235003,0.156599033,1,3.587847303
0,0,0,0,1.084235003,0.156599033,1,3.610466553
0,0,0,0,1.084235003,0.156599033,0,3.730684417
0,0,0,0,1.084235003,0.156599033,1,3.51224597
0,0,0,0,1.084235003,0.156599033,1,3.619485666
0,0,0,0,1.084235003,0.156599033,1,3.656876505
18,1,1,1,0.987478052,0.089726226,1,3.289388202
34,1,1,1,0.558184725,1.213090022,0,3.396579766
0,0,0,0,1.084235003,0.156599033,1,3.579769546
0,0,0,0,1.084235003,0.156599033,1,3.587429726
42,2,2,1,0.64160638,1.056599725,0,3.532211096
0,0,0,0,1.084235003,0.156599033,1,3.645296484
0,0,0,0,1.084235003,0.156599033,1,3.616479237
0,0,0,0,1.084235003,0.156599033,1,3.654988134
0,0,0,0,1.084235003,0.156599033,0,3.735544846
0,0,0,0,1.084235003,0.156599033,1,3.617129791
0,0,0,0,1.084235003,0.156599033,0,3.735150309
0,0,0,0,1.084235003,0.156599033,0,3.737449857
0,0,0,0,1.084235003,0.156599033,0,3.780473893
0,0,0,0,1.084235003,0.156599033,0,3.737819549
0,0,0,0,1.084235003,0.156599033,1,3.591039901
0,0,0,0,1.084235003,0.156599033,1,3.612462337
0,0,0,0,1.084235003,0.156599033,0,3.758893338
0,0,0,0,1.084235003,0.156599033,1,3.567723272
0,0,0,0,1.084235003,0.156599033,1,3.601042871
0,0,0,0,1.084235003,0.156599033,1,3.601394384
0,0,0,0,1.084235003,0.156599033,1,3.641768064
0,0,0,0,1.084235003,0.156599033,1,3.66473001
0,0,0,0,1.084235003,0.156599033,1,3.57426888
0,0,0,0,1.084235003,0.156599033,0,3.758121843
0,0,0,0,1.084235003,0.156599033,1,3.623388947
0,0,0,0,1.084235003,0.156599033,1,3.645423264
0,0,0,0,1.084235003,0.156599033,0,3.760781586
40,2,1,1,0.696799532,0.83513498,0,3.472229181
41,2,1,1,0.636345463,1.051400096,0,3.409082425
0,0,0,0,1.084235003,0.156599033,0,3.760281815
0,0,0,0,1.084235003,0.156599033,0,3.74156426
0,0,0,0,1.084235003,0.156599033,1,3.790470647
0,0,0,0,1.084235003,0.156599033,0,3.747055057
0,0,0,0,1.084235003,0.156599033,1,3.631921654
0,0,0,0,1.084235003,0.156599033,1,3.628232929
0,0,0,0,1.084235003,0.156599033,0,3.746849912
0,0,0,0,1.084235003,0.156599033,1,3.658649925
0,0,0,0,1.084235003,0.156599033,1,3.611863684
0,0,0,0,1.084235003,0.156599033,1,3.613150513
0,0,0,0,1.084235003,0.156599033,1,3.572190672
0,0,0,0,1.084235003,0.156599033,1,3.658857565
0,0,0,0,1.084235003,0.156599033,1,3.635852734
0,0,0,0,1.084235003,0.156599033,1,3.649164222
0,0,0,0,1.084235003,0.156599033,1,3.461862365
0,0,0,0,1.084235003,0.156599033,1,3.490427003
0,0,0,0,1.084235003,0.156599033,0,3.761281141
18,1,1,1,0.987478052,0.089726226,0,3.756580283
0,0,0,0,1.084235003,0.156599033,0,3.753359063
0,0,0,0,1.084235003,0.156599033,0,3.74022404
18,1,1,1,0.987478052,0.089726226,0,3.721502671
18,2,2,1,0.987478052,0.089726226,1,3.521870705
0,0,0,0,1.084235003,0.156599033,1,3.62416172
0,0,0,0,1.084235003,0.156599033,1,3.61853293
0,0,0,0,1.084235003,0.156599033,1,3.668078824
0,0,0,0,1.084235003,0.156599033,1,3.641065427
0,0,0,0,1.084235003,0.156599033,1,3.657684355
0,0,0,0,1.084235003,0.156599033,1,3.649501189
0,0,0,0,1.084235003,0.156599033,0,3.730476198
0,0,0,0,1.084235003,0.156599033,0,3.757548204
0,0,0,0,1.084235003,0.156599033,1,3.558978722
0,0,0,0,1.084235003,0.156599033,0,3.739156726
0,0,0,0,1.084235003,0.156599033,1,3.64387435
0,0,0,0,1.084235003,0.156599033,0,3.73974413
0,0,0,0,1.084235003,0.156599033,1,3.600671184
0,0,0,0,1.084235003,0.156599033,1,3.637217186
0,0,0,0,1.084235003,0.156599033,1,3.547229792
0,0,0,0,1.084235003,0.156599033,1,3.593935121
0,0,0,0,1.084235003,0.156599033,1,3.595487749
0,0,0,0,1.084235003,0.156599033,0,3.754529957
0,0,0,0,1.084235003,0.156599033,0,3.727901031
0,0,0,0,1.084235003,0.156599033,0,3.737819549
0,0,0,0,1.084235003,0.156599033,1,3.670275071
0,0,0,0,1.084235003,0.156599033,1,3.671230755
0,0,0,0,1.084235003,0.156599033,1,3.640310782
0,0,0,0,1.084235003,0.156599033,1,3.66141968
0,0,0,0,1.084235003,0.156599033,0,3.74156426
0,0,0,0,1.084235003,0.156599033,0,3.737449857
0,0,0,0,1.084235003,0.156599033,1,3.677979499
34,2,1,1,0.558184725,1.213090022,0,3.486292182
0,0,0,0,1.084235003,0.156599033,1,3.606725608
0,0,0,0,1.084235003,0.156599033,0,3.742622763
0,0,0,0,1.084235003,0.156599033,1,3.611131287
0,0,0,0,1.084235003,0.156599033,0,3.73974413
0,0,0,0,1.084235003,0.156599033,1,3.653018531
18,1,1,1,0.987478052,0.089726226,0,3.711937042
38,2,2,1,0.696799532,0.83513498,0,3.829845566
0,0,0,0,1.084235003,0.156599033,1,3.612763462
0,0,0,0,1.084235003,0.156599033,1,3.592276496
0,0,0,0,1.084235003,0.156599033,0,3.737449857
34,1,1,1,0.584410218,1.225493016,0,3.347625195
0,0,0,0,1.084235003,0.156599033,1,3.517432614
0,0,0,0,1.084235003,0.156599033,1,3.686783258
0,0,0,0,1.084235003,0.156599033,1,3.686742063
0,0,0,0,1.084235003,0.156599033,1,3.68098263
0,0,0,0,1.084235003,0.156599033,1,3.642979499
0,0,0,0,1.084235003,0.156599033,1,3.644105373
0,0,0,0,1.084235003,0.156599033,1,3.681853878
36,0,4,1,0.621112655,1.090408411,0,3.65325025
41,3,2,1,0.64160638,1.056599725,0,3.456259397
46,1,1,1,0.936297966,0.735000051,0,3.445313718
18,2,2,1,0.987478052,0.089726226,0,3.606450356
0,0,0,0,1.084235003,0.156599033,1,3.588884253
0,0,0,0,1.084235003,0.156599033,1,3.64869803
0,0,0,0,1.084235003,0.156599033,1,3.652987031
0,0,0,0,1.084235003,0.156599033,0,3.735060684
0,0,0,0,1.084235003,0.156599033,1,3.671050537
0,0,0,0,1.084235003,0.156599033,1,3.577574223
0,0,0,0,1.084235003,0.156599033,1,3.570548817
0,0,0,0,1.084235003,0.156599033,1,3.63538799
0,1,1,1,0.464884517,0.004800267,1,3.742089695
0,1,2,1,0.464884517,0.004800267,1,3.895820129
0,1,2,1,0.464884517,0.004800267,1,3.796001315
0,1,1,1,0.464884517,0.004800267,1,3.667471656
0,1,2,1,0.464884517,0.004800267,1,3.741619049
0,1,2,1,0.464884517,0.004800267,1,3.916581965
0,1,2,1,0.464884517,0.004800267,1,3.815492134
0,1,1,1,0.464884517,0.004800267,1,3.661400724
0,1,1,1,0.464884517,0.004800267,1,3.654066619
0,1,1,1,0.464884517,0.004800267,1,3.571101625
0,0,0,0,1.084235003,0.156599033,1,3.58511102
0,0,0,0,1.084235003,0.156599033,1,3.638149318
0,0,0,0,1.084235003,0.156599033,1,3.612783782
0,0,0,0,1.084235003,0.156599033,1,3.59470472
0,0,0,0,1.084235003,0.156599033,1,3.556685829
0,0,0,0,1.084235003,0.156599033,1,3.651746337
0,0,0,0,1.084235003,0.156599033,1,3.616975494
0,0,0,0,1.084235003,0.156599033,1,3.632873152
0,0,0,0,1.084235003,0.156599033,1,3.573485417
0,0,0,0,1.084235003,0.156599033,1,3.654558172
0,0,0,0,1.084235003,0.156599033,1,3.57818
0,0,0,0,1.084235003,0.156599033,0,3.749614261
0,1,2,1,0.464884517,0.004800267,1,3.897006907
0,1,1,1,0.464884517,0.004800267,1,3.589593854
19,2,2,1,0.987478052,0.089726226,0,3.602700322
18,2,2,1,0.987478052,0.089726226,0,3.560361662
0,0,0,0,1.084235003,0.156599033,1,3.608930874
0,0,0,0,1.084235003,0.156599033,0,3.739156726
0,0,0,0,1.084235003,0.156599033,1,3.654480976
0,0,0,0,1.084235003,0.156599033,1,3.670329633
1,0,0,0,1.084235003,0.156599033,1,3.61566994
1,0,0,0,1.084235003,0.156599033,1,3.648370943
0,0,0,0,1.084235003,0.156599033,1,3.617027716
18,2,1,1,0.987478052,0.089726226,1,3.512939637
19,2,1,1,0.987478052,0.089726226,0,3.682218619
1,0,0,0,1.084235003,0.156599033,1,3.670973641
1,0,0,0,1.084235003,0.156599033,1,3.614849738
8,2,2,1,0.696799532,0.83513498,1,3.742975746
0,1,2,1,0.464884517,0.004800267,1,3.889865018
0,1,2,1,0.464884517,0.004800267,1,3.89383903
0,1,1,1,0.464884517,0.004800267,1,3.649147161
0,1,1,1,0.464884517,0.004800267,1,3.630620181
0,1,2,1,0.464884517,0.004800267,1,3.881066202
0,1,1,1,0.464884517,0.004800267,1,3.649286811
19,1,1,1,0.987478052,0.089726226,0,3.737212545
1,0,0,0,1.084235003,0.156599033,0,3.762251746
0,1,1,1,0.464884517,0.004800267,1,3.694343777
0,1,2,1,0.464884517,0.004800267,1,3.896611471
0,1,1,1,0.464884517,0.004800267,1,3.757142674
0,1,1,1,0.464884517,0.004800267,1,3.62305486
1,0,0,0,1.084235003,0.156599033,0,3.713982524
19,1,1,1,0.987478052,0.089726226,0,3.698890421
1,0,0,0,1.084235003,0.156599033,1,3.590709099
1,0,0,0,1.084235003,0.156599033,1,3.654614248
1,0,0,0,1.084235003,0.156599033,1,3.622007773
1,0,0,0,1.084235003,0.156599033,1,3.543332819
0,1,1,1,0.464884517,0.004800267,1,3.617839797
0,1,1,1,0.464884517,0.004800267,1,3.694343777
1,0,0,0,1.084235003,0.156599033,1,3.615010906
19,1,1,1,0.987478052,0.089726226,0,3.610649731
19,1,1,1,0.987478052,0.089726226,0,3.782306279
1,1,2,1,0.464884517,0.004800267,1,3.815063106
0,1,2,1,0.464884517,0.004800267,1,3.905667177
0,1,1,1,0.464884517,0.004800267,1,3.639997051
0,2,1,1,0.464884517,0.004800267,1,3.673505953
1,2,2,1,0.464884517,0.004800267,1,3.905667177
0,1,1,1,0.464884517,0.004800267,1,3.545305975
0,1,1,1,0.464884517,0.004800267,1,3.697425302
0,1,2,1,0.464884517,0.004800267,1,3.861595754
1,0,0,0,1.084235003,0.156599033,0,3.783806534
1,0,0,0,1.084235003,0.156599033,1,3.597757729
1,0,0,0,1.084235003,0.156599033,0,3.780016952
1,0,0,0,1.084235003,0.156599033,0,3.78196609
1,0,0,0,1.084235003,0.156599033,0,3.737716904
1,0,0,0,1.084235003,0.156599033,1,3.63314463
1,0,0,0,1.084235003,0.156599033,1,3.598008468
1,0,0,0,1.084235003,0.156599033,0,3.713755738
0,1,1,1,0.464884517,0.004800267,0,3.896959296
1,0,0,0,1.084235003,0.156599033,1,3.801079247
1,0,0,0,1.084235003,0.156599033,1,3.614477716
0,2,2,1,0.464884517,0.004800267,1,3.814204499
0,2,2,1,0.464884517,0.004800267,1,3.858724372
0,2,1,1,0.464884517,0.004800267,1,3.776464606
0,2,2,1,0.464884517,0.004800267,1,3.905667177
0,2,2,1,0.464884517,0.004800267,1,3.925075069
19,2,2,1,0.987478052,0.089726226,0,3.611462311
0,2,1,1,0.464884517,0.004800267,1,3.630480602
0,1,2,1,0.464884517,0.004800267,1,3.778351351
8,2,2,1,0.696799532,0.83513498,1,3.731558297
0,1,1,1,0.464884517,0.004800267,1,3.661400724
1,0,0,0,1.084235003,0.156599033,0,3.784066688
1,1,1,1,1.084235003,0.156599033,1,3.606653182
46,2,1,1,0.936297966,0.735000051,0,3.40289058
1,0,0,0,1.084235003,0.156599033,0,3.784073165
1,0,0,0,1.084235003,0.156599033,0,3.783978856
1,0,0,0,1.084235003,0.156599033,0,3.784213942
1,0,0,0,1.084235003,0.156599033,0,3.784265532
35,1,1,1,0.584410218,1.225493016,0,3.532038115
1,0,0,0,1.084235003,0.156599033,0,3.760957226
1,0,0,0,1.084235003,0.156599033,0,3.761573433
1,0,0,0,1.084235003,0.156599033,0,3.784204892
0,2,1,1,0.464884517,0.004800267,1,3.815492134
1,0,0,0,1.084235003,0.156599033,1,3.597627915
0,2,1,1,0.464884517,0.004800267,1,3.654066619
1,0,0,0,1.084235003,0.156599033,1,3.6877935
0,2,1,1,0.464884517,0.004800267,1,3.674708456
1,0,0,0,1.084235003,0.156599033,0,3.737831916
1,0,0,0,1.084235003,0.156599033,0,3.795322965
1,0,0,0,1.084235003,0.156599033,0,3.737760792
31,2,2,1,0.502712776,1.298911789,0,3.422504803
19,1,1,1,0.987478052,0.089726226,0,3.640180554
0,2,2,1,0.464884517,0.004800267,1,3.891058881
1,0,0,0,1.084235003,0.156599033,1,3.608206396
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,0,3.713688127
19,1,1,1,0.987478052,0.089726226,0,3.70690152
42,2,2,1,0.656148449,1.05396,0,3.282123356
0,2,2,1,0.464884517,0.004800267,1,3.780574708
0,2,2,1,0.464884517,0.004800267,1,3.789419031
0,1,2,1,0.464884517,0.004800267,1,3.885075264
28,2,2,1,0.54040597,1.236259361,0,3.558907175
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,0,3.721609131
1,0,0,0,1.084235003,0.156599033,0,3.663794943
1,0,0,0,1.084235003,0.156599033,1,3.474646263
1,0,0,0,1.084235003,0.156599033,0,3.663928778
35,0,4,1,0.558184725,1.213090022,0,3.635618157
0,2,2,1,0.464884517,0.004800267,1,3.817206406
1,0,0,0,1.084235003,0.156599033,0,3.663864771
1,0,0,0,1.084235003,0.156599033,0,3.663928778
1,0,0,0,1.084235003,0.156599033,0,3.664023437
1,1,1,1,1.084235003,0.156599033,1,3.5683258
37,3,3,1,0.696799532,0.83513498,0,3.822704679
1,0,0,0,1.084235003,0.156599033,1,3.65466657
1,0,0,0,1.084235003,0.156599033,1,3.640084191
1,0,0,0,1.084235003,0.156599033,1,3.655493779
1,0,0,0,1.084235003,0.156599033,1,3.625908325
1,0,0,0,1.084235003,0.156599033,1,3.65142663
1,0,0,0,1.084235003,0.156599033,1,3.611515316
20,2,2,1,0.987478052,0.089726226,0,3.412051769
2,0,0,0,1.084235003,0.156599033,1,3.578025198
2,1,1,1,1.084235003,0.156599033,0,3.689747252
2,0,0,0,1.084235003,0.156599033,0,3.679917176
2,0,0,0,1.084235003,0.156599033,0,3.645473794
2,0,0,0,1.084235003,0.156599033,1,3.531170568
2,0,0,0,1.084235003,0.156599033,1,3.621677317
2,0,0,0,1.084235003,0.156599033,0,3.644414862
2,0,0,0,1.084235003,0.156599033,1,3.523378162
2,0,0,0,1.084235003,0.156599033,0,3.634838459
2,0,0,0,1.084235003,0.156599033,1,3.526156308
2,0,0,0,1.084235003,0.156599033,1,3.496817916
2,0,0,0,1.084235003,0.156599033,1,3.564065273
20,1,1,1,0.987478052,0.089726226,0,3.756884158
47,2,1,1,0.883546176,0.81466666,0,3.293456205
20,1,1,1,0.987478052,0.089726226,0,3.737212545